lat_deg,lon_deg,alt_km,x_ecef_m,y_ecef_m,z_ecef_m,ax_m_s2,ay_m_s2,az_m_s2,g_total_m_s2,g_point_mass_m_s2,delta_g_m_s2,delta_g_mGal
0,0,200.000000,6578136.300000,0.000000,0.000000,-9.217868,-0.000010,-0.000030,9.217868,9.211536,0.006333,633.257706
0,0,250.000000,6628136.300000,0.000000,0.000000,-9.079227,-0.000010,-0.000030,9.079227,9.073084,0.006143,614.349698
0,0,300.000000,6678136.300000,0.000000,0.000000,-8.943691,-0.000010,-0.000031,8.943691,8.937730,0.005962,596.151067
0,0,350.000000,6728136.300000,0.000000,0.000000,-8.811169,-0.000010,-0.000031,8.811169,8.805382,0.005786,578.626008
0,0,400.000000,6778136.300000,0.000000,0.000000,-8.681570,-0.000009,-0.000031,8.681570,8.675953,0.005617,561.742453
0,0,450.000000,6828136.300000,0.000000,0.000000,-8.554811,-0.000009,-0.000030,8.554811,8.549356,0.005455,545.471086
0,0,500.000000,6878136.300000,0.000000,0.000000,-8.430808,-0.000009,-0.000030,8.430808,8.425510,0.005298,529.784723
0,0,550.000000,6928136.300000,0.000000,0.000000,-8.309483,-0.000008,-0.000029,8.309483,8.304336,0.005147,514.657920
0,0,600.000000,6978136.300000,0.000000,0.000000,-8.190758,-0.000008,-0.000028,8.190758,8.185758,0.005001,500.066714
0,0,650.000000,7028136.300000,0.000000,0.000000,-8.074561,-0.000008,-0.000028,8.074561,8.069701,0.004860,485.988444
0,0,700.000000,7078136.300000,0.000000,0.000000,-7.960819,-0.000008,-0.000027,7.960819,7.956094,0.004724,472.401624
0,0,750.000000,7128136.300000,0.000000,0.000000,-7.849463,-0.000007,-0.000026,7.849463,7.844871,0.004593,459.285843
0,0,800.000000,7178136.300000,0.000000,0.000000,-7.740429,-0.000007,-0.000025,7.740429,7.735963,0.004466,446.621688
0,0,850.000000,7228136.300000,0.000000,0.000000,-7.633651,-0.000007,-0.000024,7.633651,7.629307,0.004344,434.390680
0,0,900.000000,7278136.300000,0.000000,0.000000,-7.529068,-0.000007,-0.000024,7.529068,7.524842,0.004226,422.575215
0,0,950.000000,7328136.300000,0.000000,0.000000,-7.426620,-0.000006,-0.000023,7.426620,7.422508,0.004112,411.158516
0,0,1000.000000,7378136.300000,0.000000,0.000000,-7.326249,-0.000006,-0.000022,7.326249,7.322248,0.004001,400.124585
0,0,1050.000000,7428136.300000,0.000000,0.000000,-7.227900,-0.000006,-0.000021,7.227900,7.224005,0.003895,389.458165
0,0,1100.000000,7478136.300000,0.000000,0.000000,-7.131518,-0.000006,-0.000021,7.131518,7.127726,0.003791,379.144698
0,0,1150.000000,7528136.300000,0.000000,0.000000,-7.037051,-0.000005,-0.000020,7.037051,7.033360,0.003692,369.170292
0,0,1200.000000,7578136.300000,0.000000,0.000000,-6.944450,-0.000005,-0.000019,6.944450,6.940855,0.003595,359.521681
0,0,1250.000000,7628136.300000,0.000000,0.000000,-6.853665,-0.000005,-0.000019,6.853665,6.850163,0.003502,350.186202
0,0,1300.000000,7678136.300000,0.000000,0.000000,-6.764648,-0.000005,-0.000018,6.764648,6.761237,0.003412,341.151755
