time_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,r_km,v_km_s,ax,ay,az
60.000000,6761.707730,285.610348,360.350577,-0.520282,4.752857,5.996613,6777.323752,7.669401,-8.658038,-0.365710,-0.461411
120.000000,6714.936300,569.904645,719.040711,-1.038166,4.719981,5.955134,6777.328409,7.669396,-8.598131,-0.729734,-0.920695
180.000000,6637.223489,851.572911,1074.417618,-1.551265,4.665356,5.886214,6777.336149,7.669387,-8.498595,-1.090392,-1.375732
240.000000,6528.927490,1129.317275,1424.843793,-2.057214,4.589234,5.790173,6777.346938,7.669375,-8.359888,-1.446021,-1.824424
300.000000,6390.547457,1401.857964,1768.704565,-2.553681,4.491967,5.667452,6777.360725,7.669359,-8.182651,-1.794982,-2.264703
360.000000,6222.721197,1667.939204,2104.415540,-3.038378,4.374002,5.518617,6777.377446,7.669340,-7.967702,-2.135664,-2.694538
420.000000,6026.222228,1926.335008,2430.429907,-3.509071,4.235884,5.344356,6777.397025,7.669318,-7.716034,-2.466498,-3.111946
480.000000,5801.956207,2175.854830,2745.245574,-3.963591,4.078250,5.145471,6777.419371,7.669293,-7.428808,-2.785958,-3.515005
540.000000,5550.956749,2415.349058,3047.412088,-4.399844,3.901826,4.922879,6777.444381,7.669264,-7.107350,-3.092572,-3.901855
600.000000,5274.380658,2643.714306,3335.537324,-4.815818,3.707426,4.677608,6777.471940,7.669233,-6.753145,-3.384925,-4.270713
660.000000,4973.502582,2859.898505,3608.293901,-5.209599,3.495947,4.410788,6777.501920,7.669199,-6.367826,-3.661672,-4.619880
720.000000,4649.709137,3062.905751,3864.425301,-5.579371,3.268363,4.123648,6777.534183,7.669163,-5.953172,-3.921536,-4.947748
780.000000,4304.492502,3251.800891,4102.751654,-5.923431,3.025724,3.817514,6777.568581,7.669124,-5.511096,-4.163322,-5.252805
840.000000,3939.443540,3425.713832,4322.175176,-6.240195,2.769149,3.493796,6777.604955,7.669082,-5.043638,-4.385914,-5.533646
900.000000,3556.244452,3583.843550,4521.685228,-6.528203,2.499819,3.153987,6777.643137,7.669039,-4.552954,-4.588289,-5.788979
960.000000,3156.661019,3725.461776,4700.362960,-6.786130,2.218977,2.799652,6777.682951,7.668994,-4.041308,-4.769514,-6.017629
1020.000000,2742.534460,3849.916347,4857.385550,-7.012788,1.927917,2.432426,6777.724214,7.668948,-3.511059,-4.928757,-6.218543
1080.000000,2315.772936,3956.634210,4992.029984,-7.207134,1.627980,2.054000,6777.766736,7.668899,-2.964653,-5.065284,-6.390798
1140.000000,1878.342754,4045.124055,5103.676382,-7.368274,1.320550,1.666119,6777.810319,7.668850,-2.404609,-5.178469,-6.533602
1200.000000,1432.259299,4114.978571,5191.810847,-7.495466,1.007041,1.270570,6777.854765,7.668800,-1.833507,-5.267792,-6.646299
1260.000000,979.577747,4165.876322,5256.027827,-7.588126,0.688900,0.869176,6777.899867,7.668749,-1.253982,-5.332842,-6.728372
1320.000000,522.383587,4197.583215,5296.031970,-7.645829,0.367592,0.463785,6777.945418,7.668697,-0.668703,-5.373322,-6.779445
1380.000000,62.783015,4209.953577,5311.639482,-7.668309,0.044597,0.056267,6777.991208,7.668645,-0.080367,-5.389048,-6.799287
1440.000000,-397.106772,4202.930814,5302.778960,-7.655466,-0.278598,-0.351503,6778.037026,7.668594,0.508315,-5.379950,-6.787807
1500.000000,-855.167334,4176.547669,5269.491716,-7.607359,-0.600502,-0.757645,6778.082660,7.668542,1.094632,-5.346070,-6.745062
1560.000000,-1309.288738,4130.926062,5211.931572,-7.524211,-0.919634,-1.160289,6778.127901,7.668491,1.675884,-5.287567,-6.671250
1620.000000,-1757.379283,4066.276519,5130.364150,-7.406407,-1.234523,-1.557580,6778.172540,7.668440,2.249393,-5.204713,-6.566714
