time_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,r_km,v_km_s,ax,ay,az
159.295612,6761.707734,285.610399,360.350641,-0.520282,4.752857,5.996613,6777.323761,7.669401,-8.658038,-0.365710,-0.461411
318.035829,6569.725225,1033.998959,1304.582009,-1.883579,4.617911,5.826354,6777.342960,7.669379,-8.412142,-1.323974,-1.670440
475.845418,6166.629494,1746.475445,2203.503616,-3.181439,4.334576,5.468873,6777.383269,7.669333,-7.895861,-2.236218,-2.821405
632.635810,5569.174898,2399.112423,3026.926552,-4.370266,3.914631,4.939036,6777.443015,7.669266,-7.130681,-3.071785,-3.875628
788.220248,4800.131088,2972.016410,3749.751492,-5.413817,3.374090,4.257042,6777.519919,7.669179,-6.145801,-3.805192,-4.800957
942.242235,3887.978119,3448.329124,4350.708573,-6.281382,2.732977,3.448158,6777.611134,7.669076,-4.977734,-4.414856,-5.570162
1093.982638,2866.504250,3814.906954,4813.214689,-6.949026,2.015047,2.542356,6777.713282,7.668960,-3.669786,-4.883961,-6.162025
1241.717309,1775.084582,4063.082917,5126.334826,-7.400970,1.247980,1.574559,6777.822424,7.668837,-2.272408,-5.201432,-6.562574
1379.061227,662.048824,4189.966474,5286.422034,-7.631966,0.465747,0.587627,6777.933728,7.668711,-0.847492,-5.363600,-6.767179
1519.908570,-389.918977,4203.191640,5303.108041,-7.655936,-0.273544,-0.345127,6778.038924,7.668592,0.499114,-5.380279,-6.788223
1678.848440,-1458.739268,4111.573253,5187.514405,-7.488939,-1.024656,-1.292794,6778.145806,7.668471,1.867165,-5.262754,-6.639943
1836.855726,-2619.105978,3883.297368,4899.501917,-7.073030,-1.840074,-2.321596,6778.261843,7.668339,3.352246,-4.970309,-6.270969
1993.866564,-3689.019165,3532.219082,4456.551359,-6.433475,-2.591904,-3.270169,6778.368834,7.668218,4.721425,-4.520743,-5.703758
2149.713024,-4635.797539,3071.822198,3875.675057,-5.594844,-3.257187,-4.109548,6778.463512,7.668111,5.932919,-3.931335,-4.960110
2304.075213,-5431.361642,2519.208531,3178.450130,-4.588291,-3.816201,-4.814847,6778.543069,7.668021,6.950842,-3.223984,-4.067655
2456.320195,-6053.425996,1894.808549,2390.653416,-3.451025,-4.253293,-5.366320,6778.605275,7.667951,7.746722,-2.424834,-3.059380
2604.992874,-6486.677253,1222.430046,1542.322873,-2.226404,-4.557711,-5.750401,6778.648600,7.667902,8.301006,-1.564345,-1.973712
2745.295228,-6724.600036,530.764787,669.658501,-0.966675,-4.724883,-5.961319,6778.672393,7.667875,8.605385,-0.679213,-0.856953
2873.572476,-6775.138497,-136.038835,-171.638293,0.247766,-4.760393,-6.006121,6778.677447,7.667869,8.670039,0.174087,0.219643
3032.708783,-6672.259270,-743.118288,-937.581939,1.353433,-4.688107,-5.914919,6778.667159,7.667881,8.538425,0.950961,1.199814
3190.939779,-6350.216502,-1473.134461,-1858.633123,2.683016,-4.461829,-5.629428,6778.634954,7.667917,8.126426,1.885183,2.378509
3348.190995,-5826.483356,-2151.833203,-2714.937823,3.919159,-4.093833,-5.165132,6778.582581,7.667977,7.456373,2.753783,3.474409
3504.317856,-5121.487786,-2758.245091,-3480.039211,5.023676,-3.598465,-4.540133,6778.512081,7.668056,6.554368,3.529941,4.453678
3659.042673,-4261.551779,-3274.234670,-4131.056038,5.963540,-2.994214,-3.777758,6778.426088,7.668154,5.454048,4.190453,5.287036
3811.825268,-3278.430140,-3685.119765,-4649.464009,6.712004,-2.303385,-2.906149,6778.327776,7.668265,4.196005,4.716520,5.950767
3961.477502,-2209.199756,-3980.375577,-5021.984133,7.249892,-1.552026,-1.958170,6778.220853,7.668386,2.827650,5.094654,6.427853
4104.498341,-1097.824794,-4154.617497,-5241.822725,7.567381,-0.771026,-0.972793,6778.109715,7.668512,1.405222,5.317935,6.709564
4245.360126,-484.839009,-4199.384931,-5298.305170,7.648992,-0.340250,-0.429289,6778.048416,7.668581,0.620614,5.375384,6.782046
4397.059613,594.200529,-4193.893186,-5291.376311,7.639110,0.418065,0.527466,6777.940512,7.668703,-0.760637,5.368610,6.773500
4555.777435,1738.637335,-4069.161174,-5134.003679,7.412038,1.222365,1.542241,6777.826069,7.668832,-2.225746,5.209205,6.572380
4713.540149,2880.786826,-3810.752781,-4807.973427,6.941460,2.025085,2.555021,6777.711854,7.668962,-3.688074,4.878645,6.155319
4870.268493,3924.308523,-3432.411493,-4330.625521,6.252391,2.758511,3.480375,6777.607502,7.669080,-5.024255,4.394484,5.544459
5025.767878,4837.560425,-2948.505137,-3720.087648,5.370992,3.400398,4.290234,6777.516176,7.669183,-6.193733,3.775096,4.762986
5179.666797,5593.753263,-2376.945565,-2998.958939,4.329888,3.931907,4.960832,6777.440557,7.669269,-7.162159,3.043406,3.839822
5331.210713,6172.151372,-1738.932464,-2193.986742,3.167699,4.338457,5.473770,6777.382717,7.669334,-7.902933,2.226560,2.809220
5478.559713,6559.321558,-1059.178528,-1336.350718,1.929447,4.610599,5.817128,6777.344000,7.669378,-8.398817,1.356214,1.711117
5628.232743,6680.114560,-710.473986,-896.395081,1.294233,4.695504,5.924252,6777.331921,7.669392,-8.553531,0.909724,1.147786
