altitude_km,rho_exp,rho_hp
100,5.297e-07,4.974e-07
110,9.661e-08,1.11289e-07
120,2.438e-08,2.49e-08
130,8.484e-09,8.5435e-09
140,3.845e-09,3.979e-09
150,2.07e-09,2.1685e-09
160,1.32785e-09,1.3035e-09
170,8.51775e-10,8.383e-10
180,5.464e-10,5.6465e-10
190,3.90373e-10,3.957e-10
200,2.789e-10,2.8595e-10
210,2.13012e-10,2.1175e-10
220,1.62689e-10,1.597e-10
230,1.24255e-10,1.22495e-10
240,9.49007e-11,9.529e-11
250,7.248e-11,7.5085e-11
260,5.81923e-11,5.979e-11
270,4.6721e-11,4.806e-11
280,3.75111e-11,3.896e-11
290,3.01166e-11,3.1825e-11
300,2.418e-11,2.617e-11
310,2.00666e-11,2.1734e-11
320,1.66529e-11,1.805e-11
330,1.382e-11,1.51417e-11
340,1.1469e-11,1.2702e-11
350,9.518e-12,1.07494e-11
360,7.88972e-12,9.097e-12
370,6.53999e-12,7.75707e-12
380,5.42117e-12,6.6145e-12
390,4.49375e-12,5.67591e-12
400,3.725e-12,4.8705e-12
410,3.13984e-12,4.19953e-12
420,2.6466e-12,3.621e-12
430,2.23084e-12,3.14006e-12
440,1.88039e-12,2.723e-12
450,1.585e-12,2.37189e-12
460,1.34472e-12,2.06605e-12
470,1.14087e-12,1.80658e-12
480,9.67916e-13,1.5797e-12
490,8.21184e-13,1.38643e-12
500,6.967e-13,1.2168e-12
510,5.95659e-13,1.07144e-12
520,5.09273e-13,9.4345e-13
530,4.35414e-13,8.33068e-13
540,3.72267e-13,7.356e-13
550,3.18278e-13,6.51435e-13
560,2.72119e-13,5.769e-13
570,2.32654e-13,5.12028e-13
580,1.98913e-13,4.5445e-13
590,1.70065e-13,4.04393e-13
600,1.454e-13,3.5985e-13
610,1.26505e-13,3.20925e-13
620,1.10065e-13,2.8621e-13
630,9.57619e-14,2.55813e-13
640,8.33174e-14,2.28645e-13
650,7.249e-14,2.04777e-13
660,6.30697e-14,1.834e-13
670,5.48736e-14,1.6459e-13
680,4.77427e-14,1.4771e-13
690,4.15384e-14,1.32839e-13
700,3.614e-14,1.19465e-13
710,3.22855e-14,1.0764e-13
720,2.88421e-14,9.6985e-14
730,2.5766e-14,8.75346e-14
740,2.30179e-14,7.9005e-14
750,2.0563e-14,7.14846e-14
760,1.83699e-14,6.468e-14
770,1.64106e-14,5.86201e-14
780,1.46604e-14,5.3128e-14
790,1.30968e-14,4.82553e-14
800,1.17e-14,4.38295e-14
810,1.0798e-14,4.0209e-14
820,9.96548e-15,3.68875e-14
830,9.19717e-15,3.38404e-14
840,8.48809e-15,3.1045e-14
850,7.83369e-15,2.8692e-14
860,7.22974e-15,2.65173e-14
870,6.67235e-15,2.45075e-14
880,6.15793e-15,2.265e-14
890,5.68317e-15,2.10057e-14
900,5.245e-15,1.94808e-14
910,4.96316e-15,1.80666e-14
920,4.69646e-15,1.6755e-14
930,4.44409e-15,1.55965e-14
940,4.20528e-15,1.45182e-14
950,3.97931e-15,1.35144e-14
960,3.76548e-15,1.258e-14
970,3.56314e-15,1.17655e-14
980,3.37167e-15,1.10037e-14
990,3.19049e-15,1.02913e-14
1000,3.019e-15,1e-20
