station_id,aos_jd,los_jd,duration_min,max_elevation_deg,aos_azimuth_deg,los_azimuth_deg
DAEJEON,2460482.50694444,2460482.51250000,8.00,49.72,242.16,44.26
GOLDSTONE,2460482.52361111,2460482.52777778,6.00,15.44,274.85,175.06
DAEJEON,2460482.57500000,2460482.57847222,5.00,10.41,304.21,21.20
DAEJEON,2460482.64444444,2460482.64513889,1.00,5.09,2.53,16.18
DAEJEON,2460482.71041667,2460482.71458333,6.00,10.04,342.89,69.74
DAEJEON,2460482.77708333,2460482.78263889,8.00,49.50,319.75,120.87
DAEJEON,2460482.84444444,2460482.84791667,5.00,11.99,269.33,187.79
CANBERRA,2460482.85833333,2460482.86041667,3.00,6.24,42.80,85.23
CANBERRA,2460482.92291667,2460482.92847222,8.00,63.07,312.13,132.23
CANBERRA,2460482.99097222,2460482.99513889,6.00,12.08,243.09,152.09
CANBERRA,2460483.12708333,2460483.12986111,4.00,6.39,186.69,131.32
GOLDSTONE,2460483.14722222,2460483.15277778,8.00,57.02,216.10,52.12
CANBERRA,2460483.19305556,2460483.19861111,8.00,26.11,212.58,75.62
GOLDSTONE,2460483.21458333,2460483.21944444,7.00,15.34,283.47,31.65
CANBERRA,2460483.26041667,2460483.26527778,7.00,24.40,252.29,17.56
GOLDSTONE,2460483.35208333,2460483.35277778,1.00,5.47,11.89,26.02
GOLDSTONE,2460483.41736111,2460483.42222222,7.00,19.75,332.88,93.08
DAEJEON,2460483.46805556,2460483.47361111,8.00,53.69,218.86,52.58
GOLDSTONE,2460483.48402778,2460483.48958333,8.00,34.43,299.09,152.34
