time_min,r_bar_m,v_bar_m,h_bar_m,range_m
0.00,-100.0,-10000.0,0.0,10000.5
0.93,-100.6,-10000.0,0.0,10000.5
1.85,-102.4,-9999.8,0.0,10000.3
2.78,-105.3,-9999.3,0.0,9999.9
3.70,-109.4,-9998.4,0.0,9999.0
4.63,-114.7,-9996.9,0.0,9997.6
5.55,-121.1,-9994.7,0.0,9995.4
6.48,-128.6,-9991.6,0.0,9992.4
7.40,-137.1,-9987.5,0.0,9988.4
8.33,-146.7,-9982.2,0.0,9983.3
9.26,-157.3,-9975.7,0.0,9976.9
10.18,-168.8,-9967.8,0.0,9969.2
11.11,-181.3,-9958.3,0.0,9960.0
12.03,-194.6,-9947.3,0.0,9949.2
12.96,-208.8,-9934.5,0.0,9936.7
13.88,-223.7,-9919.9,0.0,9922.4
14.81,-239.3,-9903.4,0.0,9906.3
15.74,-255.5,-9884.9,0.0,9888.2
16.66,-272.3,-9864.3,0.0,9868.1
17.59,-289.6,-9841.6,0.0,9845.8
18.51,-307.3,-9816.7,0.0,9821.5
19.44,-325.4,-9789.5,0.0,9794.9
20.36,-343.8,-9760.0,0.0,9766.0
21.29,-362.4,-9728.2,0.0,9734.9
22.21,-381.2,-9694.0,0.0,9701.5
23.14,-400.0,-9657.5,0.0,9665.8
24.07,-418.8,-9618.6,0.0,9627.8
24.99,-437.6,-9577.4,0.0,9587.4
25.92,-456.2,-9533.8,0.0,9544.7
26.84,-474.6,-9487.9,0.0,9499.7
27.77,-492.7,-9439.7,0.0,9452.5
28.69,-510.4,-9389.2,0.0,9403.1
29.62,-527.7,-9336.5,0.0,9351.4
30.54,-544.5,-9281.7,0.0,9297.7
31.47,-560.7,-9224.8,0.0,9241.9
32.40,-576.3,-9165.9,0.0,9184.0
33.32,-591.2,-9105.1,0.0,9124.3
34.25,-605.4,-9042.5,0.0,9062.8
35.17,-618.7,-8978.2,0.0,8999.5
36.10,-631.2,-8912.2,0.0,8934.5
37.02,-642.7,-8844.7,0.0,8868.0
37.95,-653.3,-8775.8,0.0,8800.1
38.88,-662.9,-8705.7,0.0,8730.9
39.80,-671.4,-8634.4,0.0,8660.5
40.73,-678.9,-8562.1,0.0,8589.0
41.65,-685.3,-8489.0,0.0,8516.6
42.58,-690.6,-8415.1,0.0,8443.3
43.50,-694.7,-8340.6,0.0,8369.5
44.43,-697.6,-8265.6,0.0,8295.0
45.35,-699.4,-8190.4,0.0,8220.2
46.28,-700.0,-8115.0,0.0,8145.2
47.21,-699.4,-8039.7,-0.0,8070.0
48.13,-697.6,-7964.4,-0.0,7994.9
49.06,-694.7,-7889.5,-0.0,7920.0
49.98,-690.6,-7815.0,-0.0,7845.5
50.91,-685.3,-7741.1,-0.0,7771.4
51.83,-678.9,-7668.0,-0.0,7698.0
52.76,-671.4,-7595.7,-0.0,7625.3
53.69,-662.9,-7524.4,-0.0,7553.5
54.61,-653.3,-7454.3,-0.0,7482.8
55.54,-642.7,-7385.4,-0.0,7413.3
56.46,-631.2,-7317.9,-0.0,7345.1
57.39,-618.7,-7251.9,-0.0,7278.3
58.31,-605.4,-7187.6,-0.0,7213.0
59.24,-591.2,-7124.9,-0.0,7149.4
60.16,-576.3,-7064.1,-0.0,7087.6
61.09,-560.7,-7005.3,-0.0,7027.7
62.02,-544.5,-6948.4,-0.0,6969.7
62.94,-527.7,-6893.6,-0.0,6913.7
63.87,-510.4,-6840.9,-0.0,6859.9
64.79,-492.7,-6790.4,-0.0,6808.3
65.72,-474.6,-6742.2,-0.0,6758.9
66.64,-456.2,-6696.3,-0.0,6711.8
67.57,-437.6,-6652.7,-0.0,6667.1
68.49,-418.8,-6611.4,-0.0,6624.7
69.42,-400.0,-6572.6,-0.0,6584.7
70.35,-381.2,-6536.1,0.0,6547.2
71.27,-362.4,-6501.9,0.0,6512.0
72.20,-343.8,-6470.1,0.0,6479.2
73.12,-325.4,-6440.6,0.0,6448.8
74.05,-307.3,-6413.4,0.0,6420.8
74.97,-289.6,-6388.5,0.0,6395.1
75.90,-272.3,-6365.8,0.0,6371.6
76.83,-255.5,-6345.2,0.0,6350.3
77.75,-239.3,-6326.7,0.0,6331.2
78.68,-223.7,-6310.2,0.0,6314.1
79.60,-208.8,-6295.6,0.0,6299.0
80.53,-194.6,-6282.8,0.0,6285.8
81.45,-181.3,-6271.7,0.0,6274.4
82.38,-168.8,-6262.3,0.0,6264.6
83.30,-157.3,-6254.4,0.0,6256.4
84.23,-146.7,-6247.9,0.0,6249.6
85.16,-137.1,-6242.6,0.0,6244.1
86.08,-128.6,-6238.5,0.0,6239.8
87.01,-121.1,-6235.4,0.0,6236.6
87.93,-114.7,-6233.2,0.0,6234.2
88.86,-109.4,-6231.7,0.0,6232.6
89.78,-105.3,-6230.8,0.0,6231.6
90.71,-102.4,-6230.3,0.0,6231.1
91.63,-100.6,-6230.1,0.0,6230.9
92.56,-100.0,-6230.1,0.0,6230.9
