time_h,case_name,x_km,y_km,z_km,vx_kmps,vy_kmps,vz_kmps,r_km,altitude_km,sma_km,ecc,inc_deg
0,Two-body only,6777.32,0,0,-0,4.75964,6.01378,6777.32,399.185,6778,0.0001,51.64
0.166667,Two-body only,5274.38,2641.39,3337.38,-4.81582,3.70416,4.6802,6777.47,399.335,6778,0.0001,51.64
0.333333,Two-body only,1432.26,4111.35,5194.68,-7.49546,1.00616,1.27127,6777.86,399.72,6778,0.0001,51.64
0.5,Two-body only,-3045.02,3758.26,4748.55,-6.85128,-2.13748,-2.70071,6778.3,400.167,6778,0.0001,51.64
0.666667,Two-body only,-6172.37,1738.95,2197.16,-3.16995,-4.33305,-5.47479,6778.62,400.48,6778,0.0001,51.64
0.833333,Two-body only,-6563.61,-1051.22,-1328.21,1.91627,-4.6077,-5.82182,6778.66,400.519,6778,0.0001,51.64
1,Two-body only,-4045.35,-3375.4,-4264.81,6.15324,-2.83979,-3.58806,6778.4,400.267,6778,0.0001,51.64
1.16667,Two-body only,266.273,-4203.17,-5310.69,7.66272,0.18744,0.23683,6777.97,399.836,6778,0.0001,51.64
1.33333,Two-body only,4459.76,-3167.24,-4001.8,5.77449,3.13209,3.95739,6777.55,399.417,6778,0.0001,51.64
1.5,Two-body only,6675.4,-726.729,-918.22,1.32501,4.68806,5.92335,6777.33,399.195,6778,0.0001,51.64
1.66667,Two-body only,5930.37,2036.09,2572.6,-3.71227,4.16484,5.26226,6777.41,399.27,6778,0.0001,51.64
1.83333,Two-body only,2555.18,3895.91,4922.47,-7.10281,1.79466,2.26754,6777.74,399.607,6778,0.0001,51.64
2,Two-body only,-1953.15,4028.13,5089.53,-7.34337,-1.37089,-1.73211,6778.2,400.058,6778,0.0001,51.64
2.16667,Two-body only,-5595.59,2374.41,3000.07,-4.32838,-3.92813,-4.96318,6778.56,400.422,6778,0.0001,51.64
2.33333,Two-body only,-6757.55,-331.888,-419.339,0.604996,-4.74385,-5.99384,6778.68,400.539,6778,0.0001,51.64
2.5,Two-body only,-4924.05,-2891.07,-3652.86,5.27025,-3.45669,-4.36752,6778.49,400.355,6778,0.0001,51.64
2.66667,Two-body only,-907.72,-4168.6,-5267.01,7.59956,-0.63687,-0.804683,6778.09,399.954,6778,0.0001,51.64
