time_days,r_km,altitude_km,inc_deg,ecc
0,42159.8,35781.6,0.1,0.0001
0.25,42161.9,35783.7,0.0999152,5.7019e-05
0.5,42165.1,35787,0.0991358,5.19185e-05
0.75,42164,35785.9,0.0990062,8.71938e-05
1,42159.4,35781.3,0.0984737,0.000113661
1.25,42161.7,35783.6,0.098472,6.97077e-05
1.5,42165.3,35787.2,0.0979429,5.02267e-05
1.75,42164.5,35786.3,0.0979405,8.82963e-05
2,42159.1,35781,0.0975789,0.000125333
2.25,42161.4,35783.3,0.0977094,8.61323e-05
2.5,42165.5,35787.4,0.0974121,4.96927e-05
2.75,42164.9,35786.7,0.0976146,8.77328e-05
3,42158.9,35780.8,0.0974091,0.000134503
3.25,42161,35782.9,0.0977075,0.00010405
3.5,42165.7,35787.6,0.0975916,5.16364e-05
3.75,42165.1,35787,0.0980553,8.45002e-05
4,42158.8,35780.7,0.0979729,0.000140524
4.25,42160.5,35782.4,0.0984605,0.000122233
4.5,42166,35787.9,0.0984465,5.77608e-05
4.75,42165.2,35787.1,0.0991963,7.82346e-05
5,42158.9,35780.7,0.0991821,0.000142672
5.25,42160.1,35781.9,0.099864,0.000139782
5.5,42166.3,35788.1,0.0998512,6.9287e-05
5.75,42165.2,35787,0.10087,7.04319e-05
6,42159,35780.8,0.100846,0.000140329
6.25,42159.7,35781.5,0.101706,0.000155733
6.5,42166.6,35788.5,0.101589,8.60321e-05
6.75,42164.9,35786.8,0.102808,6.62927e-05
7,42159.1,35780.9,0.10268,0.000133327
7.25,42159.3,35781.2,0.103676,0.000168868
7.5,42167,35788.9,0.103367,0.000106273
7.75,42164.6,35786.4,0.104667,7.3353e-05
8,42159.1,35781,0.10434,0.000122455
8.25,42159.1,35780.9,0.105395,0.000177643
8.5,42167.5,35789.4,0.104853,0.000127101
8.75,42164.3,35786.1,0.106078,9.25682e-05
9,42159,35780.9,0.105487,0.000110138
9.25,42158.9,35780.8,0.106492,0.000180279
9.5,42167.9,35789.8,0.105734,0.000144913
9.75,42164.1,35786,0.106729,0.000117186
10,42158.8,35780.7,0.105867,0.000101066
10.25,42159,35780.8,0.106699,0.000175112
10.5,42168.2,35790,0.105803,0.000156062
10.75,42164.2,35786,0.106461,0.000140301
11,42158.5,35780.4,0.1054,0.000101255
11.25,42159.2,35781.1,0.105957,0.000161335
11.5,42168.2,35790.1,0.105035,0.000157668
11.75,42164.4,35786.3,0.105341,0.000157413
12,42158.2,35780.1,0.104224,0.000113413
12.25,42159.7,35781.5,0.104474,0.000140177
12.5,42168,35789.9,0.103638,0.000148455
12.75,42164.7,35786.6,0.103681,0.000165949
13,42157.9,35779.7,0.102683,0.000133785
13.25,42160.4,35782.2,0.1027,0.000116389
13.5,42167.7,35789.5,0.102036,0.000129478
13.75,42164.9,35786.7,0.101976,0.000164826
14,42157.5,35779.4,0.101252,0.00015574
14.25,42161.2,35783.1,0.101206,9.9242e-05
14.5,42167.4,35789.3,0.100764,0.000104705
14.75,42164.7,35786.6,0.100776,0.000154942
15,42157.3,35779.1,0.100404,0.000173655
15.25,42162,35783.9,0.100509,9.84301e-05
15.5,42167.3,35789.1,0.100297,8.17836e-05
15.75,42164.3,35786.1,0.100518,0.000139939
16,42157,35778.9,0.100479,0.00018426
16.25,42162.7,35784.5,0.10091,0.000112814
16.5,42167.4,35789.2,0.100899,7.20002e-05
16.75,42163.6,35785.5,0.101393,0.000125909
17,42156.8,35778.7,0.101585,0.000186781
17.25,42163,35784.9,0.102421,0.000132749
17.5,42167.7,35789.6,0.102546,8.09616e-05
17.75,42163,35784.8,0.103312,0.000119155
18,42156.7,35778.5,0.103591,0.000182384
18.25,42163.1,35785,0.104798,0.000151199
18.5,42168.2,35790,0.104975,0.000100401
18.75,42162.4,35784.2,0.105962,0.000122353
19,42156.6,35778.5,0.106194,0.000173306
19.25,42163,35784.9,0.107656,0.0001652
19.5,42168.7,35790.5,0.1078,0.000121452
19.75,42161.8,35783.7,0.108928,0.000133236
20,42156.6,35778.5,0.109023,0.00016218
20.25,42162.8,35784.6,0.11059,0.000173837
20.5,42169.1,35791,0.110629,0.000140202
20.75,42161.5,35783.3,0.111808,0.000147832
21,42156.7,35778.5,0.111729,0.00015175
21.25,42162.5,35784.4,0.113249,0.000177022
21.5,42169.5,35791.3,0.113142,0.000155391
21.75,42161.2,35783.1,0.114282,0.000163309
22,42156.7,35778.5,0.114037,0.000144749
22.25,42162.4,35784.3,0.115388,0.000175164
22.5,42169.8,35791.6,0.115123,0.000166823
22.75,42161,35782.9,0.116146,0.000178257
23,42156.6,35778.5,0.115773,0.000143496
23.25,42162.4,35784.2,0.116875,0.000169306
23.5,42170,35791.9,0.11647,0.000174714
23.75,42160.9,35782.8,0.117317,0.000192075
24,42156.5,35778.4,0.116867,0.000149099
24.25,42162.5,35784.4,0.117687,0.000161338
24.5,42170.2,35792.1,0.117183,0.000179454
24.75,42160.9,35782.8,0.117821,0.000204483
25,42156.2,35778.1,0.117347,0.000160962
25.25,42162.7,35784.6,0.117899,0.000153961
25.5,42170.4,35792.3,0.11735,0.000181517
25.75,42161,35782.9,0.117779,0.000215299
26,42155.8,35777.7,0.117328,0.000177242
26.25,42162.9,35784.8,0.11766,0.000150105
26.5,42170.7,35792.5,0.117129,0.00018143
26.75,42161.2,35783.1,0.117382,0.00022435
27,42155.3,35777.2,0.116991,0.000195763
27.25,42163.2,35785,0.117179,0.000151819
27.5,42170.9,35792.7,0.116725,0.000179759
27.75,42161.5,35783.4,0.116863,0.000231436
28,42154.7,35776.6,0.116559,0.000214609
28.25,42163.3,35785.2,0.116689,0.000159373
28.5,42171.1,35792.9,0.116363,0.000177095
28.75,42161.9,35783.8,0.116473,0.000236305
29,42154.1,35776,0.116274,0.000232293
29.25,42163.3,35785.2,0.116432,0.000171465
29.5,42171.3,35793.1,0.116271,0.000174095
29.75,42162.3,35784.2,0.116448,0.000238649
30,42153.6,35775.5,0.116366,0.000247698
