jd,latitude_deg,longitude_deg
2460482.50000000,0.0000,90.3160
2460482.50069444,3.0688,92.4819
2460482.50138889,6.1320,94.6616
2460482.50208333,9.1836,96.8690
2460482.50277778,12.2177,99.1186
2460482.50347222,15.2278,101.4254
2460482.50416667,18.2072,103.8054
2460482.50486111,21.1484,106.2755
2460482.50555556,24.0430,108.8540
2460482.50625000,26.8820,111.5606
2460482.50694444,29.6548,114.4166
2460482.50763889,32.3498,117.4448
2460482.50833333,34.9533,120.6695
2460482.50902778,37.4502,124.1158
2460482.50972222,39.8227,127.8092
2460482.51041667,42.0513,131.7742
2460482.51111111,44.1135,136.0322
2460482.51180556,45.9851,140.5989
2460482.51250000,47.6400,145.4810
2460482.51319444,49.0510,150.6718
2460482.51388889,50.1917,156.1479
2460482.51458333,51.0379,161.8663
2460482.51527778,51.5697,167.7644
2460482.51597222,51.7737,173.7628
2460482.51666667,51.6447,179.7721
2460482.51736111,51.1857,-174.2981
2460482.51805556,50.4083,-168.5302
2460482.51875000,49.3310,-162.9913
2460482.51944444,47.9770,-157.7292
2460482.52013889,46.3723,-152.7718
2460482.52083333,44.5441,-148.1292
2460482.52152778,42.5188,-143.7977
2460482.52222222,40.3211,-139.7635
2460482.52291667,37.9738,-136.0060
2460482.52361111,35.4973,-132.5014
2460482.52430556,32.9097,-129.2243
2460482.52500000,30.2268,-126.1493
2460482.52569444,27.4627,-123.2519
2460482.52638889,24.6294,-120.5088
2460482.52708333,21.7378,-117.8985
2460482.52777778,18.7973,-115.4007
2460482.52847222,15.8166,-112.9969
2460482.52916667,12.8033,-110.6698
2460482.52986111,9.7645,-108.4031
2460482.53055556,6.7067,-106.1815
2460482.53125000,3.6361,-103.9905
2460482.53194444,0.5587,-101.8158
2460482.53263889,-2.5198,-99.6437
2460482.53333333,-5.5936,-97.4602
2460482.53402778,-8.6567,-95.2514
2460482.53472222,-11.7032,-93.0028
2460482.53541667,-14.7265,-90.6994
2460482.53611111,-17.7199,-88.3254
2460482.53680556,-20.6759,-85.8638
2460482.53750000,-23.5863,-83.2965
2460482.53819444,-26.4419,-80.6040
2460482.53888889,-29.2325,-77.7652
2460482.53958333,-31.9464,-74.7574
2460482.54027778,-34.5703,-71.5566
2460482.54097222,-37.0891,-68.1375
2460482.54166667,-39.4855,-64.4746
2460482.54236111,-41.7400,-60.5433
2460482.54305556,-43.8307,-56.3217
2460482.54375000,-45.7334,-51.7931
2460482.54444444,-47.4223,-46.9495
2460482.54513889,-48.8704,-41.7956
2460482.54583333,-50.0510,-36.3527
2460482.54652778,-50.9396,-30.6611
2460482.54722222,-51.5158,-24.7811
2460482.54791667,-51.7654,-18.7903
2460482.54861111,-51.6821,-12.7773
2460482.54930556,-51.2680,-6.8330
2460482.55000000,-50.5339,-1.0411
2460482.55069444,-49.4974,4.5290
2460482.55138889,-48.1814,9.8270
2460482.55208333,-46.6119,14.8226
2460482.55277778,-44.8158,19.5036
2460482.55347222,-42.8198,23.8722
2460482.55416667,-40.6489,27.9413
2460482.55486111,-38.3261,31.7305
2460482.55555556,-35.8722,35.2636
2460482.55625000,-33.3055,38.5657
2460482.55694444,-30.6420,41.6623
2460482.55763889,-27.8960,44.5781
2460482.55833333,-25.0797,47.3363
2460482.55902778,-22.2041,49.9590
2460482.55972222,-19.2788,52.4662
2460482.56041667,-16.3124,54.8769
2460482.56111111,-13.3126,57.2083
2460482.56180556,-10.2864,59.4769
2460482.56250000,-7.2404,61.6979
2460482.56319444,-4.1808,63.8860
2460482.56388889,-1.1133,66.0553
2460482.56458333,1.9562,68.2196
2460482.56527778,5.0220,70.3927
2460482.56597222,8.0785,72.5884
2460482.56666667,11.1197,74.8210
2460482.56736111,14.1393,77.1052
2460482.56805556,17.1306,79.4568
2460482.56875000,20.0865,81.8921
2460482.56944444,22.9991,84.4291
2460482.57013889,25.8593,87.0869
2460482.57083333,28.6574,89.8862
2460482.57152778,31.3821,92.8492
2460482.57222222,34.0205,95.9997
2460482.57291667,36.5579,99.3626
2460482.57361111,38.9777,102.9635
2460482.57430556,41.2609,106.8273
2460482.57500000,43.3862,110.9768
2460482.57569444,45.3299,115.4302
2460482.57638889,47.0664,120.1978
2460482.57708333,48.5690,125.2783
2460482.57777778,49.8108,130.6548
2460482.57847222,50.7664,136.2915
2460482.57916667,51.4141,142.1328
2460482.57986111,51.7381,148.1047
2460482.58055556,51.7300,154.1207
2460482.58125000,51.3898,160.0894
2460482.58194444,50.7261,165.9247
2460482.58263889,49.7551,171.5532
2460482.58333333,48.4986,176.9199
2460482.58402778,46.9818,-178.0101
2460482.58472222,45.2316,-173.2531
2460482.58541667,43.2748,-168.8099
2460482.58611111,41.1369,-164.6699
2460482.58680556,38.8414,-160.8147
2460482.58750000,36.4096,-157.2213
2460482.58819444,33.8604,-153.8646
