time_h,x_km,y_km,z_km,r_km,inc_deg,raan_deg
0.265775,7056.595565,-64.241155,445.803529,7070.955287,98.199957,359.999998
0.524216,3399.300163,-885.109276,6145.588408,7078.623941,98.191802,359.993021
0.788096,-3108.399154,-906.264172,6305.524924,7088.237060,98.191392,359.974029
1.032602,-7034.843930,-123.623111,886.633885,7091.574680,98.199809,359.966283
1.294437,-4713.424792,757.864041,-5241.686259,7089.852327,98.194045,359.962543
1.558810,1650.595530,979.478175,-6816.696352,7081.750649,98.189927,359.944461
1.814193,6677.336747,324.458504,-2306.259533,7071.840806,98.198841,359.932803
2.076826,5685.641030,-606.762838,4164.946973,7073.998752,98.196225,359.930825
2.315531,-249.608484,-1008.179322,7008.059628,7084.605119,98.189364,359.914910
2.575767,-6076.124253,-510.777440,3619.500282,7090.906982,98.197149,359.899881
2.840927,-6462.845378,427.398351,-2886.961182,7091.232939,98.198179,359.898279
3.086069,-1095.334358,999.398970,-6929.016655,7085.889321,98.189606,359.885259
3.347332,5152.706221,679.475689,-4800.678497,7075.209018,98.194989,359.867835
3.612439,6922.466459,-221.756399,1425.779604,7071.249200,98.199557,359.865013
3.867893,2519.816794,-948.872202,6548.179753,7080.147824,98.190699,359.855679
4.131380,-3740.471805,-847.667100,5961.699033,7088.830947,98.192303,359.837435
4.360314,-7084.384976,-25.097325,318.878284,7091.602338,98.199957,359.831344
4.620883,-4175.457708,828.881287,-5669.074329,7089.421345,98.193039,359.826355
4.884890,2196.143055,951.812011,-6664.098237,7080.903595,98.190370,359.807950
5.137638,6837.390079,233.680616,-1789.276324,7071.493441,98.199302,359.797735
5.399597,5353.204507,-678.083712,4575.380734,7074.652279,98.195447,359.795270
5.664843,-357.339520,-1006.556502,7003.700439,7084.678353,98.189377,359.779666
5.924764,-6165.062676,-474.717900,3471.019028,7090.932800,98.197377,359.764821
6.189806,-6446.841592,447.257351,-2919.603211,7091.254371,98.198138,359.763335
6.432649,-1066.158783,1002.455820,-6933.165570,7085.929512,98.189593,359.750254
6.693990,5090.659690,677.189598,-4867.014560,7075.396283,98.194850,359.733043
