time_h,altitude_km,sma_km,ecc,period_min
0,349.863,6728,0.001,91.5353
1,341.426,6719.56,0.000464801,91.3632
2,339.542,6717.68,0.000570774,91.3248
3,349.334,6727.47,0.000950921,91.5245
4,343.459,6721.6,0.000398121,91.4047
5,338.139,6716.28,0.000646696,91.2962
6,348.051,6726.19,0.000810461,91.4984
7,345.515,6723.65,0.000439322,91.4466
8,337.469,6715.61,0.000653811,91.2825
9,346.173,6724.31,0.000599121,91.46
10,347.304,6725.44,0.000552873,91.4831
11,337.598,6715.74,0.000579578,91.2851
12,343.937,6722.07,0.000353491,91.4144
13,348.572,6726.71,0.000662188,91.509
14,338.491,6716.63,0.0004308,91.3033
15,341.625,6719.76,0.00017724,91.3672
16,349.14,6727.28,0.00072243,91.5206
17,340.008,6718.15,0.000245504,91.3343
18,339.525,6717.66,0.000293596,91.3244
19,348.92,6727.06,0.000715938,91.5161
20,341.932,6720.07,0.000210167,91.3735
21,337.895,6716.03,0.000481196,91.2912
22,347.927,6726.06,0.00064515,91.4958
23,343.992,6722.13,0.000421767,91.4155
24,336.928,6715.07,0.000614377,91.2715
25,346.281,6724.42,0.000532745,91.4622
26,345.902,6724.04,0.000658725,91.4545
27,336.731,6714.87,0.000668986,91.2675
28,344.183,6722.32,0.000428496,91.4194
29,347.398,6725.53,0.000851185,91.485
30,337.308,6715.45,0.000643825,91.2792
31,341.891,6720.03,0.000405326,91.3727
32,348.271,6726.41,0.000968942,91.5028
33,338.564,6716.7,0.000555674,91.3048
34,339.686,6717.82,0.000478454,91.3277
35,348.397,6726.53,0.00099603,91.5054
36,340.317,6718.45,0.0004448,91.3406
37,337.834,6715.97,0.000577349,91.29
38,347.745,6725.88,0.000929065,91.4921
39,342.323,6720.46,0.000385539,91.3815
40,336.555,6714.69,0.000640316,91.2639
41,346.389,6724.53,0.000777079,91.4644
42,344.31,6722.45,0.000438729,91.422
43,335.991,6714.13,0.000636438,91.2524
44,344.489,6722.63,0.000561266,91.4257
45,346.008,6724.14,0.000556953,91.4567
46,336.195,6714.33,0.000556072,91.2565
47,342.275,6720.41,0.000319303,91.3805
48,347.187,6725.32,0.000666094,91.4807
49,337.12,6715.26,0.000408069,91.2754
50,340.013,6718.15,0.000172024,91.3344
51,347.684,6725.82,0.000725883,91.4909
52,338.63,6716.77,0.000235617,91.3062
53,337.972,6716.11,0.000313015,91.2928
54,347.426,6725.56,0.000721018,91.4856
55,340.516,6718.65,0.000227236,91.3446
56,336.39,6714.53,0.000498064,91.2605
57,346.432,6724.57,0.0006544,91.4653
58,342.524,6720.66,0.000434508,91.3856
59,335.446,6713.58,0.000627307,91.2413
60,344.815,6722.95,0.000547047,91.4323
61,344.387,6722.52,0.000662569,91.4236
62,335.236,6713.37,0.000679957,91.237
63,342.764,6720.9,0.000443385,91.3905
64,345.857,6723.99,0.000848689,91.4536
65,335.768,6713.9,0.000654785,91.2478
66,340.519,6718.66,0.00040908,91.3447
67,346.739,6724.88,0.000964336,91.4716
68,336.954,6715.09,0.000566511,91.272
69,338.343,6716.48,0.000467048,91.3003
70,346.911,6725.05,0.000994103,91.4751
71,338.629,6716.77,0.000450579,91.3062
72,336.487,6714.62,0.000558687,91.2625
73,346.34,6724.48,0.000934106,91.4634
74,340.57,6718.71,0.000375596,91.3457
75,335.158,6713.3,0.000623411,91.2354
76,345.085,6723.22,0.00079182,91.4378
77,342.522,6720.66,0.00041279,91.3855
78,334.501,6712.64,0.000628731,91.222
79,343.286,6721.42,0.000585804,91.4011
80,344.233,6722.37,0.000528666,91.4204
81,334.574,6712.71,0.000562944,91.2235
82,341.151,6719.29,0.000348526,91.3576
83,345.48,6723.62,0.000646061,91.4459
84,335.349,6713.49,0.000431641,91.2393
85,338.923,6717.06,0.000172736,91.3121
86,346.101,6724.24,0.000720963,91.4586
87,336.714,6714.85,0.000267591,91.2671
88,336.855,6714.99,0.000279951,91.27
89,346.008,6724.14,0.000735137,91.4567
90,338.485,6716.62,0.000212084,91.3032
91,335.178,6713.32,0.000468899,91.2358
92,345.201,6723.34,0.000687547,91.4402
93,340.433,6718.57,0.0003844,91.3429
94,334.073,6712.21,0.000612138,91.2133
95,343.765,6721.9,0.00059282,91.4109
96,342.31,6720.45,0.00060653,91.3812
97,333.652,6711.79,0.000684087,91.2047
98,341.859,6720,0.000484192,91.372
99,343.877,6722.01,0.000800379,91.4132
100,333.943,6712.08,0.000679478,91.2106
101,339.695,6717.83,0.000416965,91.3279
102,344.937,6723.07,0.000934294,91.4348
103,334.892,6713.03,0.000607048,91.23
104,337.513,6715.65,0.000436789,91.2834
105,345.35,6723.49,0.000990414,91.4432
106,336.369,6714.51,0.000491777,91.2601
107,335.553,6713.69,0.00051546,91.2434
108,345.058,6723.2,0.000961491,91.4373
109,338.183,6716.32,0.000385246,91.2971
110,334.026,6712.16,0.000590766,91.2123
111,344.083,6722.22,0.000850649,91.4174
112,340.106,6718.24,0.000369437,91.3363
113,333.09,6711.23,0.000621671,91.1932
114,342.527,6720.66,0.000671124,91.3857
115,341.899,6720.04,0.000462983,91.3728
116,332.836,6710.97,0.000589423,91.1881
117,340.559,6718.7,0.000446843,91.3455
118,343.341,6721.48,0.000590057,91.4022
119,333.271,6711.41,0.000491986,91.1969
120,338.393,6716.53,0.000226496,91.3013
121,344.252,6722.39,0.000692102,91.4208
122,334.327,6712.46,0.000345819,91.2184
123,336.261,6714.4,0.000200515,91.2579
124,344.517,6722.65,0.000742016,91.4262
125,335.864,6714,0.000217985,91.2498
126,334.392,6712.53,0.000381821,91.2198
127,344.094,6722.23,0.000731135,91.4176
128,337.69,6715.83,0.000284584,91.287
129,332.98,6711.12,0.000551813,91.191
130,343.02,6721.16,0.000664864,91.3957
131,339.58,6717.72,0.00048589,91.3255
132,332.164,6710.3,0.000662623,91.1744
133,341.405,6719.54,0.000562878,91.3628
134,341.307,6719.44,0.000692072,91.3608
135,332.017,6710.15,0.000700997,91.1714
136,339.419,6717.56,0.000462576,91.3223
137,342.661,6720.8,0.000857933,91.3884
138,332.536,6710.67,0.000667224,91.1819
139,337.27,6715.41,0.000417221,91.2784
140,343.479,6721.62,0.000959945,91.4051
141,333.643,6711.78,0.000574077,91.2045
142,335.184,6713.32,0.000452822,91.2359
143,343.657,6721.79,0.00098516,91.4087
144,335.197,6713.33,0.000450862,91.2362
145,333.375,6711.51,0.000528792,91.199
146,343.165,6721.3,0.000930071,91.3987
147,337.008,6715.14,0.000356825,91.2731
148,332.025,6710.16,0.000591023,91.1715
149,342.047,6720.18,0.00080045,91.3759
150,338.86,6717,0.000371829,91.3109
151,331.265,6709.4,0.000606956,91.156
152,340.413,6718.55,0.000611117,91.3425
153,340.536,6718.67,0.000483113,91.345
154,331.158,6709.29,0.000562936,91.1539
155,338.433,6716.57,0.000387577,91.3022
156,341.84,6719.98,0.00061123,91.3716
157,331.696,6709.83,0.000460444,91.1648
158,336.307,6714.44,0.000191217,91.2588
159,342.616,6720.75,0.000708119,91.3875
160,332.801,6710.94,0.000320507,91.1873
161,334.252,6712.39,0.000231745,91.2169
162,342.771,6720.91,0.000752498,91.3906
163,334.337,6712.47,0.000222746,91.2186
164,332.472,6710.61,0.00041653,91.1806
165,342.275,6720.41,0.000738411,91.3805
166,336.12,6714.26,0.000313522,91.255
167,331.142,6709.28,0.000576801,91.1535
168,341.172,6719.31,0.000672041,91.358
169,337.945,6716.08,0.000507808,91.2922
170,330.383,6708.52,0.000678172,91.1381
171,339.569,6717.71,0.000571986,91.3253
172,339.601,6717.74,0.000702584,91.326
173,330.258,6708.39,0.000709926,91.1355
174,337.623,6715.76,0.000472042,91.2856
175,340.899,6719.04,0.000858731,91.3524
176,330.759,6708.9,0.000672792,91.1457
177,335.527,6713.66,0.000420036,91.2429
178,341.69,6719.83,0.000954923,91.3686
179,331.815,6709.95,0.000578424,91.1673
180,333.488,6711.62,0.000443737,91.2013
181,341.88,6720.02,0.000979272,91.3725
