time_min,distance_m,rel_vel_ms,r_bar_m,v_bar_m,h_bar_m
0.00,72169.1,81.8021,-562.1,71976.0,-5246.1
0.17,72170.3,81.8074,-561.9,71982.8,-5168.4
0.33,72171.5,81.8125,-561.6,71989.6,-5090.1
0.50,72172.7,81.8176,-561.3,71996.3,-5011.2
0.67,72173.9,81.8226,-560.8,72003.0,-4931.5
0.83,72175.1,81.8275,-560.3,72009.7,-4851.3
1.00,72176.4,81.8323,-559.7,72016.4,-4770.4
1.17,72177.6,81.8370,-559.0,72023.0,-4689.0
1.33,72178.8,81.8416,-558.2,72029.5,-4606.9
1.50,72180.1,81.8461,-557.3,72036.0,-4524.2
1.67,72181.4,81.8504,-556.3,72042.5,-4441.0
1.83,72182.6,81.8547,-555.3,72048.9,-4357.1
2.00,72183.9,81.8588,-554.1,72055.2,-4272.7
2.17,72185.2,81.8627,-552.9,72061.5,-4187.8
2.33,72186.6,81.8666,-551.6,72067.8,-4102.3
2.50,72187.9,81.8703,-550.1,72074.0,-4016.4
2.67,72189.2,81.8739,-548.7,72080.1,-3929.8
2.83,72190.6,81.8773,-547.1,72086.2,-3842.8
3.00,72192.0,81.8805,-545.4,72092.2,-3755.3
3.17,72193.4,81.8837,-543.6,72098.1,-3667.3
3.33,72194.8,81.8866,-541.8,72104.0,-3578.9
3.50,72196.2,81.8894,-539.9,72109.8,-3489.9
3.67,72197.6,81.8921,-537.8,72115.5,-3400.6
3.83,72199.1,81.8946,-535.7,72121.2,-3310.8
4.00,72200.6,81.8969,-533.5,72126.7,-3220.5
4.17,72202.1,81.8990,-531.2,72132.2,-3129.9
4.33,72203.6,81.9010,-528.9,72137.7,-3038.9
4.50,72205.1,81.9028,-526.4,72143.0,-2947.4
4.67,72206.7,81.9044,-523.9,72148.3,-2855.6
4.83,72208.3,81.9059,-521.2,72153.5,-2763.4
5.00,72209.9,81.9071,-518.5,72158.6,-2670.9
5.17,72211.5,81.9082,-515.7,72163.6,-2578.0
5.33,72213.1,81.9091,-512.8,72168.5,-2484.8
5.50,72214.8,81.9098,-509.9,72173.4,-2391.3
5.67,72216.4,81.9103,-506.8,72178.1,-2297.4
5.83,72218.1,81.9106,-503.7,72182.8,-2203.3
6.00,72219.8,81.9107,-500.4,72187.3,-2108.9
6.17,72221.6,81.9106,-497.1,72191.8,-2014.2
6.33,72223.3,81.9103,-493.7,72196.1,-1919.3
6.50,72225.1,81.9098,-490.3,72200.4,-1824.1
6.67,72226.9,81.9091,-486.7,72204.6,-1728.7
6.83,72228.7,81.9082,-483.0,72208.6,-1633.0
7.00,72230.5,81.9070,-479.3,72212.6,-1537.2
7.17,72232.4,81.9057,-475.5,72216.5,-1441.1
7.33,72234.3,81.9042,-471.6,72220.2,-1344.9
7.50,72236.1,81.9024,-467.6,72223.8,-1248.5
7.67,72238.0,81.9005,-463.6,72227.4,-1151.9
7.83,72240.0,81.8983,-459.4,72230.8,-1055.2
8.00,72241.9,81.8959,-455.2,72234.1,-958.3
8.17,72243.8,81.8933,-450.9,72237.3,-861.4
8.33,72245.8,81.8905,-446.5,72240.4,-764.3
8.50,72247.8,81.8874,-442.1,72243.3,-667.1
8.67,72249.8,81.8841,-437.5,72246.2,-569.8
8.83,72251.7,81.8807,-432.9,72248.9,-472.5
9.00,72253.8,81.8770,-428.2,72251.5,-375.1
9.17,72255.8,81.8730,-423.4,72254.0,-277.6
9.33,72257.8,81.8689,-418.6,72256.4,-180.2
9.50,72259.8,81.8645,-413.7,72258.6,-82.6
9.67,72261.9,81.8600,-408.7,72260.7,14.9
9.83,72263.9,81.8552,-403.6,72262.7,112.4
10.00,72265.9,81.8501,-398.5,72264.5,209.9
10.17,72268.0,81.8449,-393.2,72266.3,307.4
10.33,72270.0,81.8394,-387.9,72267.9,404.8
10.50,72272.1,81.8337,-382.6,72269.3,502.2
10.67,72274.1,81.8278,-377.1,72270.7,599.5
10.83,72276.2,81.8217,-371.6,72271.9,696.8
11.00,72278.2,81.8154,-366.0,72272.9,793.9
11.17,72280.3,81.8088,-360.4,72273.9,891.0
11.33,72282.3,81.8020,-354.7,72274.7,987.9
11.50,72284.3,81.7950,-348.9,72275.3,1084.7
11.67,72286.3,81.7878,-343.0,72275.8,1181.4
11.83,72288.3,81.7804,-337.1,72276.2,1277.9
12.00,72290.3,81.7728,-331.1,72276.4,1374.3
12.17,72292.2,81.7649,-325.0,72276.5,1470.5
12.33,72294.2,81.7569,-318.9,72276.5,1566.5
12.50,72296.1,81.7486,-312.7,72276.3,1662.2
12.67,72298.0,81.7401,-306.5,72276.0,1757.8
12.83,72299.9,81.7315,-300.2,72275.5,1853.2
13.00,72301.7,81.7226,-293.8,72274.9,1948.3
13.17,72303.5,81.7135,-287.3,72274.1,2043.2
13.33,72305.3,81.7042,-280.8,72273.2,2137.8
13.50,72307.1,81.6947,-274.3,72272.1,2232.1
13.67,72308.8,81.6850,-267.7,72270.9,2326.1
13.83,72310.5,81.6751,-261.0,72269.5,2419.9
14.00,72312.1,81.6651,-254.3,72268.0,2513.3
14.17,72313.7,81.6548,-247.5,72266.3,2606.5
14.33,72315.3,81.6443,-240.7,72264.5,2699.2
14.50,72316.8,81.6337,-233.8,72262.5,2791.7
14.67,72318.2,81.6229,-226.8,72260.4,2883.7
14.83,72319.7,81.6118,-219.8,72258.1,2975.5
15.00,72321.0,81.6007,-212.8,72255.6,3066.8
15.17,72322.3,81.5893,-205.7,72253.0,3157.7
15.33,72323.5,81.5777,-198.5,72250.3,3248.2
15.50,72324.7,81.5660,-191.3,72247.4,3338.4
15.67,72325.8,81.5541,-184.1,72244.3,3428.0
15.83,72326.9,81.5421,-176.8,72241.1,3517.3
16.00,72327.8,81.5298,-169.4,72237.7,3606.1
16.17,72328.7,81.5174,-162.0,72234.2,3694.4
16.33,72329.6,81.5049,-154.6,72230.4,3782.3
16.50,72330.3,81.4922,-147.2,72226.6,3869.7
16.67,72331.0,81.4793,-139.6,72222.6,3956.5
16.83,72331.6,81.4663,-132.1,72218.4,4042.9
17.00,72332.1,81.4532,-124.5,72214.0,4128.8
17.17,72332.5,81.4399,-116.9,72209.5,4214.1
17.33,72332.8,81.4264,-109.2,72204.8,4298.9
17.50,72333.0,81.4128,-101.5,72200.0,4383.1
17.67,72333.1,81.3991,-93.8,72195.0,4466.8
17.83,72333.1,81.3853,-86.0,72189.8,4549.9
18.00,72333.0,81.3713,-78.2,72184.5,4632.4
18.17,72332.9,81.3572,-70.4,72179.0,4714.3
18.33,72332.6,81.3430,-62.5,72173.4,4795.7
18.50,72332.1,81.3286,-54.6,72167.6,4876.4
18.67,72331.6,81.3141,-46.7,72161.6,4956.5
18.83,72331.0,81.2996,-38.7,72155.4,5035.9
19.00,72330.2,81.2849,-30.7,72149.1,5114.7
19.17,72329.3,81.2701,-22.7,72142.6,5192.9
19.33,72328.3,81.2552,-14.7,72136.0,5270.3
19.50,72327.1,81.2402,-6.7,72129.2,5347.1
19.67,72325.8,81.2251,1.4,72122.2,5423.3
19.83,72324.4,81.2099,9.5,72115.1,5498.7
20.00,72322.8,81.1947,17.6,72107.8,5573.4
20.17,72321.1,81.1793,25.7,72100.3,5647.4
20.33,72319.3,81.1639,33.9,72092.6,5720.7
20.50,72317.3,81.1483,42.1,72084.8,5793.3
20.67,72315.1,81.1328,50.2,72076.9,5865.1
20.83,72312.8,81.1171,58.4,72068.7,5936.1
21.00,72310.3,81.1014,66.6,72060.4,6006.4
21.17,72307.7,81.0856,74.8,72051.9,6076.0
21.33,72304.9,81.0697,83.1,72043.3,6144.7
21.50,72302.0,81.0538,91.3,72034.5,6212.7
21.67,72298.8,81.0378,99.5,72025.5,6279.9
